FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
31458,US,WPNH432,3,5974.85,30
31459,US,WPNH435,1,6375.14,30
31460,US,WPNH435,2,6404.79,30
31461,US,WPNH435,3,6315.84,30
31462,US,WPNH436,3,6226.89,30
31463,US,WPNH436,3,6375.14,30
31464,US,WPNH444,1,6034.15,30
31465,US,WPNH444,3,5974.85,30
31466,US,WPNH558,1,6152.75,30
31467,US,WPNH558,3,6093.45,30
31468,US,WPNH558,4,6004.5,30
31469,US,WPNH558,5,6004.5,30
31470,US,WPNH558,6,6093.45,30
31471,US,WPNH558,7,6152.75,30
31472,US,WPNH559,1,6093.45,30
31473,US,WPNH559,2,6034.15,30
31474,US,WPNH559,4,6093.45,30
31475,US,WPNH559,5,6034.15,30
31476,US,WPNH611,1,6063.8,30
31477,US,WPNH611,2,5974.85,30
31478,US,WPNH611,3,5945.2,30
31479,US,WPNH611,6,6063.8,30
31480,US,WPNH684,1,6626.25,2.5
31481,US,WPNH684,2,6034.15,30
31482,US,WPNH685,1,6786.25,2.5
31483,US,WPNH685,2,6286.19,30
31484,US,WPNH686,3,6286.19,30
31485,US,WPNH686,4,6345.49,30
31486,US,WPNH686,5,6256.54,30
31487,US,WPNH686,6,6389.965,60
31488,US,WPNH687,2,6093.45,30
31489,US,WPNH688,1,6093.45,30
31490,US,WPNH689,1,6226.89,30
31491,US,WPNH689,2,6345.49,30
31492,US,WPNH690,2,6034.15,30
31493,US,WPNH690,3,6226.89,30
31494,US,WPNH691,3,6137.925,60
31495,US,WPNH691,4,5974.85,30
31496,US,WPNH692,1,6034.15,30
31497,US,WPNH692,2,5974.85,30
31498,US,WPNH715,2,6034.15,30
31499,US,WPNH742,1,6755,10
31500,US,WPNH743,1,6595,10
31501,US,WPNH745,1,6775,10
31502,US,WPNH745,2,6755,10
31503,US,WPNH746,1,6615,10
31504,US,WPNH768,8,6226.89,30
31505,US,WPNH768,8,6286.19,30
31506,US,WPNH768,9,6226.89,30
31507,US,WPNH768,9,6286.19,30
31508,US,WPNH768,10,6755,30
31509,US,WPNH768,11,6785,30
31510,US,WPNH769,4,6271.365,60
31511,US,WPNH796,3,6093.45,30
31512,US,WPNH796,4,6063.8,30
31513,US,WPNH798,1,6743.75,2.5
31514,US,WPNH798,2,6675.625,3.5
31515,US,WPNH798,3,6765.625,3.5
31516,US,WPNH799,1,6605.625,3.5
31517,US,WPNH799,2,6693.75,2.5
31518,US,WPNH800,1,6853.75,2.5
31519,US,WPNH800,2,6783.75,2.5
31520,US,WPNH801,1,6583.75,2.5
31521,US,WPNH801,2,6593.75,2.5
31522,US,WPNH802,1,6623.75,2.5
31523,US,WPNH805,41,6226.89,30
31524,US,WPNH805,41,6286.19,30
